idsbr,latitude,longitude,geocode_status,geom_wkt
5888965,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97238946,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238941,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238930,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
97238932,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238956,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
97237920,0.0717855,109.1929098,2,"POINT(109.1929098 0.0717855)"
97238936,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238928,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238925,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238929,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238934,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
97238947,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
97238952,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97238989,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97238957,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
5965825,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
5965824,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
5976002,0.2166670,109.1333330,2,"POINT(109.133333 0.216667)"
6033325,0.3484884,108.9630456,2,"POINT(108.9630456 0.3484884)"
97239195,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97239188,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97238988,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97240010,0.3849002,108.9488671,1,"POINT(108.9488671 0.3849002)"
97240054,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240039,0.3598215,108.9690915,2,"POINT(108.9690915 0.3598215)"
97240055,0.3598215,108.9690915,2,"POINT(108.9690915 0.3598215)"
5354452,0.4232528,109.2729049,2,"POINT(109.2729049 0.4232528)"
5358342,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
6580223,0.3277651,108.9665381,2,"POINT(108.9665381 0.3277651)"
5888961,0.0567180,109.2141962,2,"POINT(109.2141962 0.056718)"
5354336,0.2957364,109.0371701,2,"POINT(109.0371701 0.2957364)"
97239274,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
5354221,0.1573902,109.1598470,2,"POINT(109.159847 0.1573902)"
5354426,0.3734628,108.9677503,2,"POINT(108.9677503 0.3734628)"
97240041,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97238937,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
5354281,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
4892869,0.3484884,108.9630456,2,"POINT(108.9630456 0.3484884)"
4497782,0.4045674,108.9473247,2,"POINT(108.9473247 0.4045674)"
4892905,0.4361503,108.9452988,2,"POINT(108.9452988 0.4361503)"
235187,0.1595486,109.2005983,2,"POINT(109.2005983 0.1595486)"
97239219,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97237928,0.0717855,109.1929098,2,"POINT(109.1929098 0.0717855)"
97240008,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97239269,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240040,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240015,0.3277651,108.9665381,2,"POINT(108.9665381 0.3277651)"
97240050,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97239210,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97240035,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97240013,0.3451582,108.9742008,2,"POINT(108.9742008 0.3451582)"
97240022,0.3451582,108.9742008,2,"POINT(108.9742008 0.3451582)"
97240026,0.3706055,108.9614751,2,"POINT(108.9614751 0.3706055)"
97239271,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240009,0.3849002,108.9488671,1,"POINT(108.9488671 0.3849002)"
97240049,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97239182,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97239286,0.3598215,108.9690915,2,"POINT(108.9690915 0.3598215)"
97239222,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240062,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97240281,0.4530264,108.9378589,2,"POINT(108.9378589 0.4530264)"
97239293,0.4045674,108.9473247,2,"POINT(108.9473247 0.4045674)"
97239263,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97239291,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97240271,0.3044910,109.0188012,2,"POINT(109.0188012 0.304491)"
97239273,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240288,0.4530264,108.9378589,2,"POINT(108.9378589 0.4530264)"
6644967,0.0717855,109.1929098,2,"POINT(109.1929098 0.0717855)"
6709793,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
6709071,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
6699725,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
6651870,-2.4833826,117.8902853,2,"POINT(117.8902853 -2.4833826)"
97239180,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
6695414,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97240294,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
97240316,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97240282,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
97239230,0.3598215,108.9690915,2,"POINT(108.9690915 0.3598215)"
97240061,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97239294,0.2148355,109.1435496,2,"POINT(109.1435496 0.2148355)"
97239278,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240273,0.3078308,109.0091536,1,"POINT(109.0091536 0.3078308)"
97240284,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
97240278,0.4530264,108.9378589,2,"POINT(108.9378589 0.4530264)"
97239288,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97240280,0.4530264,108.9378589,2,"POINT(108.9378589 0.4530264)"
97240285,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
97240293,0.3227689,108.9705771,2,"POINT(108.9705771 0.3227689)"
97239229,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240350,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240346,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240347,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240362,0.3636598,108.9590028,1,"POINT(108.9590028 0.3636598)"
97240320,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240319,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240358,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240363,0.3635415,108.9587894,1,"POINT(108.9587894 0.3635415)"
97240330,0.3643565,108.9621479,1,"POINT(108.9621479 0.3643565)"
97239221,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
4955300,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
5354302,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
97240373,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
2857756,0.0717855,109.1929098,2,"POINT(109.1929098 0.0717855)"
97240352,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240355,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
4328927,0.3605763,109.1653196,2,"POINT(109.1653196 0.3605763)"
97240341,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97241191,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
3880188,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97239732,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
3823876,0.2787514,109.1119310,2,"POINT(109.111931 0.2787514)"
3329064,0.4045674,108.9473247,2,"POINT(108.9473247 0.4045674)"
4485742,0.1573902,109.1598470,2,"POINT(109.159847 0.1573902)"
97240371,0.3671095,108.9510284,2,"POINT(108.9510284 0.3671095)"
97240336,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240361,0.3635415,108.9587894,1,"POINT(108.9587894 0.3635415)"
97240334,0.3643565,108.9621479,1,"POINT(108.9621479 0.3643565)"
97240357,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240321,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240369,0.3636598,108.9590028,1,"POINT(108.9590028 0.3636598)"
97240333,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240356,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240360,0.3635415,108.9587894,1,"POINT(108.9587894 0.3635415)"
97240327,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
97240328,0.3643432,108.9621513,1,"POINT(108.9621513 0.3643432)"
