kk,gid,ikn,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,idsubsls,kdsubsls,nm_gedung,wil_campur
,"617443","0",,0.104675939439569,,"61041100110012","04","110","0012",MEMPAWAH,SUNGAI KUNYIT,RT 010 RW 03 DUSUN SUTRA,,"011","61",,,SUNGAI DURI I,KALIMANTAN BARAT,,,,,,2024_1,,"6104110011001200","00",,
,"617442","0",,0.017152668164275,,"61040800010024","04","080","0024",MEMPAWAH,JONGKAT,RT 020 RW 01 DUSUN MAWAR,,"001","61",,,SUNGAI NIPAH,KALIMANTAN BARAT,,,,,,2024_1,,"6104080001002400","00",,
,"617441","0",,0.029545180969848,,"61041000130015","04","100","0015",MEMPAWAH,MEMPAWAH HILIR,RT 15 RW 08 DUSUN DEWA,,"013","61",,,PENIBUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100013001500","00",,
,"617440","0",,0.032030581417157,,"61041000130014","04","100","0014",MEMPAWAH,MEMPAWAH HILIR,RT 14 RW 07 DUSUN DEWA,,"013","61",,,PENIBUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100013001400","00",,
,"617439","0",,0.035459535819139,,"61041000130016","04","100","0016",MEMPAWAH,MEMPAWAH HILIR,RT 16 RW 08 DUSUN DEWA,,"013","61",,,PENIBUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100013001600","00",,
,"617438","0",,0.111288356900483,,"61041000130011","04","100","0011",MEMPAWAH,MEMPAWAH HILIR,RT 11 RW 05 DUSUN DEWA SUHAR MANIK,,"013","61",,,PENIBUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100013001100","00",,
,"617437","0",,1.03539571743893,,"61041000130003","04","100","0003",MEMPAWAH,MEMPAWAH HILIR,RT 03 RW 02 DUSUN MELAYU,,"013","61",,,PENIBUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100013000300","00",,
,"617436","0",,128.459903868707,,"61040810062001","04","081","2001",MEMPAWAH,SEGEDONG,BLOK PERSIAPAN,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006200100","00",,
,"617435","0",,0.198522375556414,,"61040810060029","04","081","0029",MEMPAWAH,SEGEDONG,RT 026 RW 006 DUSUN TUNAS BARU,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006002900","00",,
,"617434","0",,0.126377704686033,,"61040810060041","04","081","0041",MEMPAWAH,SEGEDONG,RT 009 RW 001 DUSUN KARYA UTAMA,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006004100","00",,
